Date,Open,High,Low,Close,Adj Close,Volume
2023-07-26,106.500000,117.199997,106.500000,116.150002,116.150002,10033483
2023-07-27,117.150002,122.000000,115.099998,118.349998,118.349998,10396127
2023-07-28,118.750000,119.199997,114.400002,116.050003,116.050003,2993932
2023-07-31,116.449997,120.900002,116.250000,118.949997,118.949997,4037813
2023-08-01,119.500000,119.800003,116.099998,116.949997,116.949997,2171381
2023-08-02,116.000000,117.449997,108.449997,110.500000,110.500000,5471940
2023-08-03,110.699997,114.949997,110.000000,113.750000,113.750000,3367972
2023-08-04,114.650002,117.300003,114.099998,114.900002,114.900002,2690937
2023-08-07,115.699997,119.750000,114.750000,116.949997,116.949997,4331236
2023-08-08,117.550003,117.650002,113.500000,115.000000,115.000000,2351265
2023-08-09,115.449997,118.199997,114.000000,117.699997,117.699997,2686806
2023-08-10,118.250000,122.500000,118.099998,118.699997,118.699997,4911430
2023-08-11,119.449997,120.800003,117.050003,118.199997,118.199997,2805501
2023-08-14,118.900002,119.750000,109.750000,113.949997,113.949997,5748461
2023-08-16,113.949997,116.699997,112.900002,114.099998,114.099998,2505714
2023-08-17,115.900002,116.800003,114.150002,115.400002,115.400002,2079119
2023-08-18,115.750000,115.750000,111.000000,111.949997,111.949997,2589567
2023-08-21,112.199997,114.199997,108.800003,109.699997,109.699997,2602025
2023-08-22,110.099998,114.900002,110.000000,113.250000,113.250000,3285967
2023-08-23,114.000000,115.650002,113.099998,113.449997,113.449997,1710591
2023-08-24,114.199997,114.199997,111.500000,112.050003,112.050003,1363074
2023-08-25,111.000000,111.949997,108.750000,110.000000,110.000000,1924566
2023-08-28,110.000000,113.699997,109.500000,110.750000,110.750000,2396823
2023-08-29,111.900002,112.050003,110.500000,110.949997,110.949997,1326941
2023-08-30,110.949997,111.750000,109.599998,110.199997,110.199997,1738238
2023-08-31,110.849998,113.699997,110.500000,113.000000,113.000000,4853057
2023-09-01,113.750000,113.750000,111.050003,111.349998,111.349998,1183963
2023-09-04,111.949997,111.949997,109.400002,110.050003,110.050003,1561164
2023-09-05,110.199997,111.199997,107.349998,107.949997,107.949997,1899410
2023-09-06,108.500000,109.650002,107.199997,108.099998,108.099998,1561031
2023-09-07,108.099998,110.099998,107.650002,107.849998,107.849998,1188745
2023-09-08,108.199997,109.199997,105.150002,105.550003,105.550003,2111395
2023-09-11,106.000000,106.250000,102.050003,106.000000,106.000000,2875183
2023-09-12,109.900002,109.900002,103.150002,105.900002,105.900002,3242114
2023-09-13,105.550003,106.000000,100.800003,105.300003,105.300003,1972728
2023-09-14,105.449997,107.199997,104.500000,104.949997,104.949997,1155723
2023-09-15,105.000000,106.150002,102.750000,103.050003,103.050003,1228773
2023-09-18,103.400002,104.550003,100.000000,101.550003,101.550003,1579988
2023-09-20,101.699997,103.699997,100.349998,103.150002,103.150002,1528930
2023-09-21,103.400002,107.000000,103.250000,104.099998,104.099998,2116050
2023-09-22,105.150002,105.699997,103.449997,104.699997,104.699997,978497
2023-09-25,104.750000,106.500000,104.750000,105.800003,105.800003,778947
2023-09-26,106.349998,106.500000,103.750000,106.050003,106.050003,1140374
2023-09-27,106.199997,107.900002,105.800003,107.199997,107.199997,1364667
2023-09-28,107.300003,109.699997,107.199997,108.949997,108.949997,2003361
2023-09-29,110.000000,111.400002,108.650002,110.050003,110.050003,1510450
2023-10-03,110.349998,111.449997,107.349998,109.550003,109.550003,1751491
2023-10-04,109.500000,109.650002,106.699997,108.550003,108.550003,1160848
2023-10-05,108.900002,109.650002,106.699997,107.650002,107.650002,878343
2023-10-06,108.000000,109.599998,107.449997,109.099998,109.099998,759993
2023-10-09,105.500000,108.199997,104.949997,105.849998,105.849998,1310743
2023-10-10,107.400002,107.949997,106.800003,107.050003,107.050003,759826
2023-10-11,107.599998,108.650002,107.400002,108.150002,108.150002,1355029
2023-10-12,108.500000,113.349998,108.500000,110.000000,110.000000,3530796
2023-10-13,111.000000,112.699997,110.250000,111.300003,111.300003,1299958
2023-10-16,111.949997,112.199997,109.500000,110.099998,110.099998,1032022
